3 13 1 6 15 4 2 7 10 5 3 7 12 12 13 8 9 0 6 9 11 11 10 5 5 2 0 4 13 8 3 6 0 12 11 0.07792235165834427
15 12 8 10 1 14 5 3 4 4 8 10 10 9 8 12 13 11 1 6 5 1 3 12 9 3 5 10 10 6 7 9 9 14 2 0.023001370951533318
3 9 4 6 1 3 6 5 0 0 0 12 11 14 0 13 12 3 14 0 15 7 1 1 3 7 14 4 7 11 6 7 3 10 5 0.059392210096120834
13 8 8 2 10 9 11 4 11 13 13 1 9 13 11 14 10 2 10 5 7 15 2 11 0 0 3 2 2 15 0 7 5 6 0 0.11178600788116455
1 14 14 14 12 11 14 9 14 14 13 0 2 5 9 6 8 0 0 12 9 1 6 7 2 4 13 11 8 7 8 7 0 1 15 0.0376945436000824
3 13 7 7 13 13 9 0 2 14 1 4 15 12 6 8 11 0 0 1 7 11 13 15 7 10 10 14 2 0 8 3 2 8 3 0.0977189764380455
1 13 7 7 10 9 14 12 4 3 0 0 13 9 8 4 3 15 15 11 14 7 2 3 14 14 7 9 8 2 11 8 2 2 6 0.06298329681158066
7 4 11 0 7 7 0 11 8 2 9 15 1 11 13 7 5 13 2 0 14 2 0 0 13 8 1 14 10 6 7 2 2 0 13 0.04111476615071297
14 2 4 5 3 7 14 15 14 15 7 14 15 15 3 11 15 1 6 7 6 1 14 15 15 3 9 11 13 12 13 11 9 12 9 0.07311008870601654
6 6 15 10 15 2 11 13 4 10 11 15 4 13 3 0 0 12 1 12 13 8 5 5 0 15 5 6 1 15 7 5 13 14 1 0.06607258319854736
12 12 13 12 15 3 11 11 15 6 11 12 14 11 11 0 1 11 4 11 7 6 10 4 7 2 15 14 12 6 0 5 3 5 0 0.08159273117780685
14 9 9 14 14 14 14 9 10 14 11 4 5 0 14 4 8 14 9 5 14 11 8 1 13 10 14 11 5 14 2 14 10 8 14 0.06036452576518059
11 7 10 14 2 9 5 14 14 11 14 14 10 2 13 15 13 6 4 14 0 3 7 3 15 1 0 8 6 4 14 2 15 4 2 0.0770367980003357
0 14 14 14 14 12 14 14 14 13 13 1 6 5 1 14 11 0 11 11 11 14 12 14 0 15 15 1 6 15 10 14 8 11 0 0.056907135993242264
5 10 6 15 11 10 12 13 14 2 5 3 3 12 10 9 14 2 14 11 12 1 11 10 11 11 15 3 11 11 15 6 14 5 1 0.06701747328042984
4 12 4 13 7 14 8 7 6 13 9 6 6 2 2 9 15 4 3 13 15 6 1 15 10 11 5 2 5 2 1 2 2 10 7 0.11268822103738785
4 8 10 9 8 8 14 14 15 15 2 1 3 13 13 2 2 2 6 9 2 6 3 3 11 6 10 14 7 13 0 6 11 11 3 0.08372035622596741
1 5 12 12 10 14 15 6 6 6 14 6 2 2 11 2 0 0 2 2 2 2 15 3 8 9 8 12 0 15 6 8 4 11 6 0.05593779683113098
12 3 15 12 12 8 7 6 2 2 11 1 0 10 15 12 12 14 7 12 1 4 9 14 12 3 1 3 2 5 2 13 5 4 14 0.08409222215414047
7 8 13 15 11 14 11 6 14 6 1 4 10 11 1 11 6 15 0 6 15 2 3 11 15 5 15 4 7 13 15 2 0 11 6 0.06715583056211472
5 10 2 7 4 12 0 11 12 9 11 10 14 7 9 6 11 11 11 15 2 11 11 6 15 9 15 9 6 4 5 14 15 15 6 0.16828219592571259
5 7 5 7 7 14 11 11 7 11 7 11 10 11 0 11 11 15 2 15 11 11 11 2 14 15 8 11 3 13 15 6 3 3 9 0.10975651443004608
9 12 9 11 12 12 11 11 10 8 11 7 7 11 3 0 11 14 8 7 3 7 11 2 10 14 11 13 13 11 11 8 2 14 10 0.07230502367019653
4 11 0 11 7 15 11 11 13 11 11 13 11 11 11 11 3 5 13 3 6 15 1 4 1 2 5 4 6 1 2 13 3 11 9 0.388071745634079
11 8 8 11 11 9 8 15 0 15 11 15 2 15 10 6 15 2 11 11 11 8 1 3 7 15 11 6 14 14 6 15 7 11 11 0.008781236596405506
11 10 10 10 15 15 1 13 8 2 9 8 4 4 7 10 10 7 11 2 1 15 15 4 4 11 11 13 2 0 0 0 13 11 15 0.06776420027017593
2 2 9 7 15 2 2 14 14 13 13 12 2 11 2 2 2 2 11 2 6 11 6 2 2 10 2 1 2 2 2 2 0 1 15 0.06416894495487213
4 1 1 15 3 3 0 6 6 11 11 11 11 11 11 5 4 11 10 11 2 11 3 4 7 3 7 11 11 11 11 3 5 8 8 0.07107561081647873
14 10 11 15 15 11 14 11 11 5 6 1 6 13 7 15 15 9 13 11 1 11 11 11 11 4 7 14 15 15 1 9 6 9 1 0.07160469889640808
11 11 9 0 8 11 14 6 1 15 11 11 13 3 15 13 1 7 14 11 11 0 8 14 13 15 10 0 12 6 15 7 11 13 9 0.1000787541270256
9 9 11 10 9 7 15 2 2 2 2 11 2 8 2 15 9 2 2 2 2 2 2 2 1 2 2 2 0 2 2 2 1 2 12 0.0775272399187088
7 3 7 4 11 2 9 7 2 2 0 0 0 2 2 2 11 0 0 0 15 15 2 7 14 3 0 6 6 13 14 7 13 15 11 0.1339324712753296
0 5 7 0 0 0 0 15 0 9 6 1 1 2 11 2 2 13 2 11 2 7 2 7 0 14 15 0 11 13 0 0 15 7 4 0.04505586996674538
8 7 12 9 14 10 6 7 6 0 10 3 12 15 7 8 4 0 6 3 2 11 15 8 0 0 0 4 7 15 1 8 0 8 8 0.06495457142591476
8 8 7 1 0 15 1 1 12 15 10 3 14 9 4 0 7 1 1 3 4 1 1 1 1 1 1 1 4 12 10 15 0 0 0 0.09643081575632095
8 10 11 0 11 15 0 15 10 13 11 11 6 2 6 11 15 11 3 11 11 11 0 8 14 11 14 1 14 15 15 11 4 3 11 0.03528008237481117
13 11 13 9 13 7 10 13 15 0 11 13 13 9 13 13 15 15 15 15 7 11 7 7 11 0 9 4 12 11 1 4 15 6 15 0.4258213937282562
13 13 9 13 13 14 14 14 14 12 13 15 15 14 14 3 3 14 15 11 11 11 11 11 11 11 11 10 5 7 7 3 10 2 13 0.102143295109272
